,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,year
70,0.655,0.433,5,-7.577,0,0.0348,0.444,0.0,0.221,0.199,130.127,audio_features,1XE1UGRpvvkaFEeqe1OJpw,spotify:track:1XE1UGRpvvkaFEeqe1OJpw,https://api.spotify.com/v1/tracks/1XE1UGRpvvkaFEeqe1OJpw,https://api.spotify.com/v1/audio-analysis/1XE1UGRpvvkaFEeqe1OJpw,245293,4,Don't Wanna Try,2003
71,0.837,0.736,10,-8.367,0,0.378,0.225,0.0,0.0549,0.905,104.907,audio_features,6UZS3KgNc0NF13bbtQTzD6,spotify:track:6UZS3KgNc0NF13bbtQTzD6,https://api.spotify.com/v1/tracks/6UZS3KgNc0NF13bbtQTzD6,https://api.spotify.com/v1/audio-analysis/6UZS3KgNc0NF13bbtQTzD6,234093,4,The Jump Off,2003
72,0.646,0.793,6,-4.791,0,0.0745,0.433,0.0,0.0685,0.394,100.048,audio_features,6wogJFtETgMRt3thwSBBNb,spotify:track:6wogJFtETgMRt3thwSBBNb,https://api.spotify.com/v1/tracks/6wogJFtETgMRt3thwSBBNb,https://api.spotify.com/v1/audio-analysis/6wogJFtETgMRt3thwSBBNb,192615,4,Intuition,2003
73,0.696,0.708,9,-4.737,1,0.0438,0.000113,0.0,0.444,0.287,142.026,audio_features,3QHGfxhjexLaMKGHXagfRs,spotify:track:3QHGfxhjexLaMKGHXagfRs,https://api.spotify.com/v1/tracks/3QHGfxhjexLaMKGHXagfRs,https://api.spotify.com/v1/audio-analysis/3QHGfxhjexLaMKGHXagfRs,168161,4,Hell Yeah,2003
74,0.717,0.85,10,-5.329,1,0.0473,0.368,0.0,0.0495,0.805,119.005,audio_features,7E2DqvnVtbIrFrL5X6YH9Q,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/tracks/7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/audio-analysis/7E2DqvnVtbIrFrL5X6YH9Q,204000,4,Beer for My Horses,2003
75,0.81,0.791,7,-5.909,1,0.181,0.0893,0.0,0.0838,0.948,153.067,audio_features,0FmCLEHfINGqwlyzvklNqy,spotify:track:0FmCLEHfINGqwlyzvklNqy,https://api.spotify.com/v1/tracks/0FmCLEHfINGqwlyzvklNqy,https://api.spotify.com/v1/audio-analysis/0FmCLEHfINGqwlyzvklNqy,314400,4,Holidae In,2003
76,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,audio_features,6Nq5lE0CeOAAAqN4qhkbZU,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/audio-analysis/6Nq5lE0CeOAAAqN4qhkbZU,239027,4,Suga Suga,2003
77,0.618,0.413,5,-9.311,0,0.398,0.134,0.000338,0.0913,0.462,87.412,audio_features,0ieS2bue78yadTdPiyzsaO,spotify:track:0ieS2bue78yadTdPiyzsaO,https://api.spotify.com/v1/tracks/0ieS2bue78yadTdPiyzsaO,https://api.spotify.com/v1/audio-analysis/0ieS2bue78yadTdPiyzsaO,337573,4,Love of My Life (An Ode to Hip-Hop),2003
78,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,audio_features,7nXq1vaZiz7PdbfojpPjW5,spotify:track:7nXq1vaZiz7PdbfojpPjW5,https://api.spotify.com/v1/tracks/7nXq1vaZiz7PdbfojpPjW5,https://api.spotify.com/v1/audio-analysis/7nXq1vaZiz7PdbfojpPjW5,245960,4,Fighter,2003
79,0.703,0.639,5,-6.183,0,0.281,0.299,0.0,0.139,0.893,87.908,audio_features,3eBBbAEBQdr6tkUUd8gyuQ,spotify:track:3eBBbAEBQdr6tkUUd8gyuQ,https://api.spotify.com/v1/tracks/3eBBbAEBQdr6tkUUd8gyuQ,https://api.spotify.com/v1/audio-analysis/3eBBbAEBQdr6tkUUd8gyuQ,247600,4,Thugz Mansion,2003
